Model,C_AI_MSE,C_AI_R2,C_AI_adj_R2,C_self_MSE,C_self_R2,C_self_adj_R2,Mean_MSE,Mean_R2,Mean_adj_R2,iteration
MOD+A+ALIGN,0.0013230012869679898,0.8305602900983472,0.8176681382580041,0.000649128966353389,0.8220337063616211,0.8084927927152228,0.0009860651266606895,0.8262969982299841,0.8130804654866135,2
PHYS-FULL,0.0013230012869679898,0.8305602900983472,0.8176681382580041,0.000504100672819167,0.8617949082349222,0.8512793034267098,0.0009135509798935783,0.8461775991666347,0.8344737208423569,2
ORIG-BASE,0.0017376095331796998,0.7607086262206917,0.7425016738679183,0.0009047639985172797,0.7185401276502692,0.697124702580181,0.0013211867658484897,0.7396243769354804,0.7198131882240497,3
PHYS-BASE,0.0017376095331796998,0.7607086262206917,0.7425016738679183,0.0009047639985172797,0.7185401276502692,0.697124702580181,0.0013211867658484897,0.7396243769354804,0.7198131882240497,3
MOD,0.0013250757059345547,0.8175198858086176,0.8036355292940559,0.0008009412780181471,0.7508379751625224,0.7318799950118448,0.001063008491976351,0.78417893048557,0.7677577621529503,3
MOD+A,0.0013250354122171764,0.817525434776209,0.8036415004657032,0.0008009007719421326,0.7508505760562395,0.7318935546692142,0.0010629680920796545,0.7841880054162242,0.7677675275674587,3
MOD+A+ASYM,0.0013250354122171764,0.817525434776209,0.8036415004657032,0.000845116982387094,0.7370955095770001,0.7170919070448154,0.0010850761973021353,0.7773104721766045,0.7603667037552593,3
MOD+A+ALIGN,0.0013250650431974543,0.8175213542058382,0.8036371094171519,0.0005763976207317123,0.8206904772739607,0.8070473614143707,0.0009507313319645833,0.8191059157398994,0.8053422354157613,3
PHYS-FULL,0.0013250650431974543,0.8175213542058382,0.8036371094171519,0.0005986254269954528,0.8137757066554794,0.7996064669444833,0.0009618452350964536,0.8156485304306588,0.8016217881808176,3
ORIG-BASE,0.0020644847291990125,0.7341360004429867,0.7139072178679966,0.0007960861402287546,0.7643302303029031,0.7463988347824719,0.0014302854347138835,0.7492331153729449,0.7301530263252343,4
PHYS-BASE,0.0020644847291990125,0.7341360004429867,0.7139072178679966,0.0007960861402287546,0.7643302303029031,0.7463988347824719,0.0014302854347138835,0.7492331153729449,0.7301530263252343,4
MOD,0.001334768100926752,0.8281087862872262,0.8150301069829934,0.0007106189459676959,0.7896315550846321,0.7736252603628107,0.001022693523447224,0.8088701706859291,0.7943276836729021,4
MOD+A,0.0013347459134493032,0.8281116435868764,0.8150331816858779,0.0007105971823165893,0.7896379978982736,0.7736321933905336,0.0010226715478829462,0.808874820742575,0.7943326875382057,4
MOD+A+ASYM,0.0013347459134493032,0.8281116435868764,0.8150331816858779,0.0007578897616446775,0.775637714869317,0.7585666714354606,0.0010463178375469903,0.8018746792280966,0.7867999265606693,4
MOD+A+ALIGN,0.0013347459134241957,0.8281116435901097,0.8150331816893572,0.0005476332390651174,0.8378811125993653,0.8255459798623604,0.0009411895762446565,0.8329963780947375,0.8202895807758588,4
PHYS-FULL,0.0013347459134241957,0.8281116435901097,0.8150331816893572,0.0006138562160356188,0.8182767595744406,0.8044499912811914,0.0009743010647299073,0.8231942015822751,0.8097415864852744,4
ORIG-BASE,0.0018125627930392918,0.7154691479248548,0.6938200613539198,0.000958761143714444,0.725498067648193,0.7046120510562077,0.001385661968376868,0.720483607786524,0.6992160562050638,5
PHYS-BASE,0.0018125627930392918,0.7154691479248548,0.6938200613539198,0.000958761143714444,0.725498067648193,0.7046120510562077,0.001385661968376868,0.720483607786524,0.6992160562050638,5
MOD,0.001289826415662593,0.7975267888721622,0.7821212184602615,0.0008287673520046014,0.7627164585394264,0.7446622760369914,0.0010592968838335972,0.7801216237057943,0.7633917472486265,5
MOD+A,0.001289828905703168,0.7975263979928121,0.7821207978400913,0.0008287964405551269,0.7627081302259764,0.744653314047518,0.0010593126731291474,0.7801172641093943,0.7633870559438046,5
MOD+A+ASYM,0.001289828905703168,0.7975263979928121,0.7821207978400913,0.0007073112537448568,0.7974904310630153,0.7820820942960709,0.0009985700797240124,0.7975084145279137,0.7821014460680811,5
