iteration,Model,C_AI_MSE,C_AI_adj_R2,C_self_MSE,C_self_adj_R2,Mean_MSE,Mean_adj_R2
7,MOD+A_OG+ASYM,0.0010882310066712326,0.835591664811425,0.0006552482032839888,0.775743392050575,0.0008717396049776107,0.805667528431
7,MOD+A_OG+ALIGN,0.0010882008184056975,0.83559622561005,0.00041472574617550117,0.8580614359558905,0.0007514632822905993,0.8468288307829702
7,PHYS-FULL_OG-A,0.0010882008184056975,0.83559622561005,0.0004147379332755314,0.8580572649597705,0.0007514693758406144,0.8468267452849103
8,MOD,0.0011735836714712115,0.837022889433785,0.0008963727785134879,0.714708123129272,0.0010349782249923496,0.7758655062815285
8,MOD+A_OG,0.0011735836714712115,0.837022889433785,0.0008963727785134879,0.714708123129272,0.0010349782249923496,0.7758655062815285
8,MOD+A_OG+ASYM,0.0011735836714712115,0.837022889433785,0.0008964581486120359,0.7146809520725117,0.0010350209100416236,0.7758519207531483
8,MOD+A_OG+ALIGN,0.001173583740889851,0.8370228797935272,0.0007323937227937498,0.7668983431974843,0.0009529887318418004,0.8019606114955058
8,PHYS-FULL_OG-A,0.001173583740889851,0.8370228797935272,0.0007324732120233388,0.7668730438666209,0.0009530284764565949,0.801947961830074
9,MOD,0.001336019216331008,0.7874958218420159,0.0010022720257917065,0.7004186539296373,0.0011691456210613572,0.7439572378858266
9,MOD+A_OG,0.001336019216331008,0.7874958218420159,0.0010022720257917065,0.7004186539296373,0.0011691456210613572,0.7439572378858266
9,MOD+A_OG+ASYM,0.001336019216331008,0.7874958218420159,0.001002288393484619,0.700413761589685,0.0011691538049078136,0.7439547917158504
9,MOD+A_OG+ALIGN,0.0013360118415216152,0.787496994862426,0.0007398076095751085,0.7788698538856872,0.001037909725548362,0.7831834243740565
9,PHYS-FULL_OG-A,0.0013360118415216152,0.787496994862426,0.0007398579372798817,0.7788548108223745,0.0010379348894007485,0.7831759028424002
