alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,gamma_res,beta,gamma
0.25513807458757853,0.39520942930418845,0.008841509411929217,0.8490252737878757,0.2190875814398047,1.2603332062919259e-11,0.5067420967233085,0.08883527614903639,4.898350966232852e-23,0.3441838089202692
0.22749916418424632,0.3263086993271571,0.02644910048700745,0.7520710772962921,0.15355827956022827,1.1329651349241755e-15,0.6315787260788518,0.35421751191825573,9.999999996673738e-13,0.42349545582301673
0.25994069096884204,0.34258517235813113,0.0033597148419316028,0.823922291418253,0.23584703248728456,0.005005986411257437,0.5728369959765782,0.19451166749286558,7.6910451490844245e-28,0.355022458793095
0.2419590577237493,0.34227261342210313,0.031124866767838145,0.831150131146119,0.1807045378459604,6.859435910359187e-14,0.5940520181385331,0.1043445402391698,3.271832296127864e-23,0.38028347332884416
0.23520973504087103,0.32856199251312457,0.03450178027875066,0.7670561602348399,0.21026785361782546,4.550821757391826e-13,0.5862749366495674,0.2645818346802462,9.999999999972535e-13,0.33058177188565413
0.2586031049991397,0.36187657433098525,0.02606647935981874,0.8649145786430583,0.14243745276474687,7.587039575577577e-13,0.5413954436919425,0.2002852211963298,3.286836537851138e-24,0.3223380015639275
0.2527782795736407,0.3405792345281619,0.03586920008865094,0.8550759120620772,0.17651651112573982,3.819882937327678e-11,0.5766045941286805,0.12381411168689292,5.9065539761394e-21,0.36806321905751777
0.27551409530694626,0.3380344009504607,4.507261889841972e-16,0.8347988691414702,0.2572965402718472,0.020647892592080826,0.536872736901732,0.15188710096313457,9.999999858075686e-13,0.3716847690803748
0.2572851504522068,0.3060097536741106,0.021596503414272866,0.7533885714182929,0.24354268420993336,0.01605265049586063,0.6250275194551073,0.28561832241351315,7.161393182143105e-22,0.38676205676034114
0.2364549220829199,0.35947762221374535,0.028136331994308615,0.8235235926788861,0.13417928453305392,7.656740669620394e-13,0.5810167661100101,0.2630406815067742,1.079430723211587e-22,0.38141703461225346
0.26106181456010075,0.3804933257165113,0.013995952265156741,0.8120283934217091,0.2145006477688043,5.150317125093533e-10,0.5370886471094851,0.31324079663332416,9.999999999969075e-13,0.3546757278537501
0.26352145706022884,0.3460019752020897,0.01778426960906826,0.8115392345373059,0.24040416908148454,0.02246619677017308,0.5333276864882652,0.1479267287360954,8.913034524030092e-28,0.3473501756486853
0.2356900874434248,0.3343695153613037,0.019170350185412875,0.8141317591579796,0.11855431985317506,1.7132695438280027e-11,0.5969215790145658,0.22416766091893414,9.999998514209274e-13,0.36568985157271494
0.2403851767479775,0.3414565842985621,1.1214038434581043e-09,0.8593460135618393,0.1296560010916562,2.5442062953723355e-11,0.5576609418027708,0.1756130725319893,9.999999998314759e-13,0.330150336612092
0.251084383783697,0.3463540710696194,0.007633733226836823,0.8456556670365715,0.1960361360619545,0.05151468743530335,0.5824713857211009,0.1677548903172938,9.999999999340705e-13,0.3864509130588119
0.24906180593652402,0.33305313282129423,0.01396378360877643,0.8535905176842883,0.14321632815185198,1.707859001297002e-11,0.5995079810653067,0.21491595764914628,2.072363946149335e-24,0.3022150128328191
0.2637834430025381,0.348206890742022,0.025072678656066688,0.7976677984928288,0.1868467420974014,0.059858181077921804,0.5738206615496124,0.31357742942794464,4.947305769735526e-20,0.36960734627311365
0.2653446492571868,0.3141337889832902,0.030820096845750388,0.7744692709851233,0.17577293265161079,0.0700926427016495,0.5765535716683436,0.21443373387375048,9.99999999959406e-13,0.38182682705526805
0.2549905806948831,0.3471422732426398,0.007085644339443991,0.814776286998991,0.18357288088576407,0.05784814225613794,0.5864352948827367,0.21083815615539656,9.999999999998693e-13,0.37052590105826255
0.24011429428214306,0.3558018609144881,0.024512078020799816,0.8558602294783263,0.1318853274861576,0.002901162323870183,0.5671315653434249,0.20507968401603002,1.2446735858457361e-15,0.35677281208801
0.23856829989636877,0.33879200585797553,0.05374349931558792,0.8774184489597393,0.1001198801026723,0.00804775665257414,0.563219599258828,0.10975787950338632,9.999999999999963e-13,0.35544896174542784
0.2647281874803461,0.3279541236533529,0.020686616050639768,0.8142090543388248,0.18858708508830424,1.1450610124643654e-09,0.5928334214616888,0.15342466655617748,2.5465796536330356e-19,0.3551021428088045
0.2104995167723746,0.3601655442817933,0.011040057779508382,0.8233462422266068,0.13141982830401844,2.183305882992712e-15,0.5885103457976396,0.2059036636729765,9.999999999806572e-13,0.3409777682683603
0.2413683608059268,0.3917490343218081,0.021253375698899516,0.8061688487739435,0.0999173243413969,5.434279321619037e-14,0.5740263933686878,0.17572591869938184,9.999999999999988e-13,0.31154366731408595
0.24623534631449395,0.2913030139520793,0.010044274169161057,0.7846719812965939,0.17875066703870562,0.04472092404424542,0.6135818887590087,0.344513697737398,2.876489710188518e-20,0.34235654049779773
0.2514527949095202,0.37644068831290384,0.033947216328776654,0.8213498309053449,0.20318597114282358,1.6045132751492003e-11,0.5509251401654808,0.08448768920227333,9.995081335822791e-13,0.3480510991086063
0.2733393682363408,0.32936527599633136,0.022523233552493648,0.8419241522795489,0.18086547910576053,0.08571248259197602,0.5415709932603398,0.20772503828437944,9.999999188263637e-13,0.38189151114167935
0.2551110134506928,0.36410855754205296,0.0015357525246946016,0.8321258522445792,0.1898065923421195,0.009431652398532716,0.552771066102094,0.2019535995442255,1.8870750760658576e-26,0.3054639512384008
0.27411772804778395,0.3524834454472446,0.01671073644544545,0.8274626827717583,0.3053659125956431,3.7891385167836215e-10,0.528231653934152,0.1944143904273656,6.401611275688398e-21,0.3826430725246216
0.24358166812616464,0.34832839224641066,0.019773358791803464,0.8291071342100658,0.2222566503615811,2.5381180300319143e-12,0.5862561323055897,0.21643759931869008,1.753127996921207e-24,0.4122141511951542
0.2240361573793662,0.3082418622065031,0.018574445513802346,0.8514657418101366,0.13260343681328216,7.349791373179039e-11,0.6208706418789489,0.1598060269400281,9.999999302112752e-13,0.3892948847325111
0.3055862024065217,0.3373231970543043,0.042860886512421946,0.8383719591593641,0.21924784158117921,0.1178523058342345,0.5313250042823877,0.12589860478244028,6.66233102842274e-31,0.4279214363157842
0.25036408633601515,0.3513309789597761,0.04997665584143592,0.8384293940657334,0.16254773937070077,5.250935894193929e-06,0.5586925430574989,0.05246046620681745,1.4831169922648745e-28,0.3960174521957152
0.26780790808603083,0.356541552887952,0.03117148435650448,0.8330564300587956,0.21490856364175812,0.045238785792212265,0.5694049796608512,0.1340747859276998,9.76961442704533e-21,0.4137381730586928
0.2496222368851512,0.3354395620611375,0.0017081667814995674,0.8296497947695641,0.1830309339358486,2.7549001379833437e-14,0.5872247449752589,0.14961560221718795,6.22758599367997e-22,0.34084483680210736
