alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,gamma_res,beta,gamma
0.251003411630203,0.5019810010100108,3.593539830671203e-11,0.3995990286231915,0.8869260685682474,0.19760747901811504,0.2783664480568044,1.39776879683211,5.2088017263141985e-21,0.13807678991287667
0.31046800620174847,0.43686985090552244,1.97702173282798e-13,0.5006626310054179,0.7751528277877094,0.25679926658045366,0.3528915891700164,0.6092095675068588,1.2791889605905752e-23,0.1131614563188161
0.3149071081682965,0.32891916810988686,0.019800781140643247,0.5099795723566437,0.808157749293023,0.2901312295481771,0.3035356723414514,0.7294471377070165,5.436947410040599e-29,0.09422733451349628
0.2541470667457866,0.4584786166288341,1.032068282276036e-08,0.5011531051666855,0.8189141975249131,0.20640910489572742,0.22042152137335982,1.0141631326889984,1.8238958721705377e-25,0.16809412909584542
0.3264818093262604,0.4271398097002092,1.0027658074795993e-10,0.46792348249870735,0.7802245930966181,0.2383818208007012,0.2942968084807335,0.7648451260381411,2.2449987751297235e-27,0.09749025942833113
0.31013552403340017,0.46500458790549987,6.159929597829664e-10,0.46225384573625067,0.836360273545636,0.23116084930111663,0.3131121512160509,0.8464688608205114,9.999999999904616e-13,0.11359605918079128
0.2532369644147153,0.5220148662759966,2.0788210827823307e-10,0.47091296247977515,0.8468087427807907,0.19282706926857401,0.2845351562234045,0.9996199939730435,9.999999999606152e-13,0.15019296064922924
0.3022426908522951,0.38528701177551306,4.324272276506137e-12,0.4971404156576371,0.8344705501756726,0.24008988962835479,0.2784200183482857,0.8373695749085945,4.8180086539805616e-30,0.09838497066379324
0.31656839778775364,0.38612473542793324,1.7299290052720225e-11,0.4981094414178076,0.8138280621701026,0.26007390022885496,0.2881997743952667,0.7124259174312411,1.6713952790210345e-25,0.10795285229399287
0.35404949953704823,0.38325521046966693,3.511642416867831e-10,0.48310555488286516,0.7430096772110395,0.2816258862734198,0.3006356043454125,0.7236041411599364,4.792265943990668e-27,0.09072198935199265
0.3003111370900968,0.4587861609227448,0.009145375259560894,0.4520551307006383,0.7508218537460825,0.2442203556477719,0.2913527931772509,0.9058864747543517,9.999999999999917e-13,0.0973710206749945
0.296986720642773,0.4420521364505966,1.67483607537514e-10,0.4854865656830396,0.7522365347482562,0.21823053814373491,0.3158184974291486,0.8385354446540728,6.802944717969742e-25,0.11301410707313245
0.3082180416241973,0.41953787164238737,1.2124192092073366e-13,0.4836029645640475,0.7793146973270879,0.2605077657313531,0.31448803093388583,0.7961063948084054,2.6590763843706502e-24,0.11541017513880707
0.2765886770070962,0.4515351500076064,6.724184758998947e-12,0.49396868846972586,0.8389203139547122,0.2551931420823409,0.2961859694080311,0.689639184441899,9.9999999999998e-13,0.13628948600914745
0.2879880956239515,0.4193337029672222,7.292112700531921e-11,0.49455450827875275,0.8335149526430405,0.2434660682020816,0.27636859021954935,0.9151431856518288,9.999999999998744e-13,0.16848252740806696
