pid,condition,omega2_ai,omega2_self,reject_positive_count,ai_mse,self_mse
65,2,0.8149117771229321,0.897602488232101,5,0.05952139942981991,0.022106116225437858
66,2,1.7332534993023958e-06,0.686209886207907,5,0.02001125603848509,0.010165556972180889
67,2,0.8400577166825464,0.5970597510239739,1,0.015392667514707322,0.01039666554817391
68,2,0.0938129033179195,3.6189997090493037e-09,8,0.03139357195545015,0.01456602244509541
69,2,0.2067342341488896,0.31869814269504176,8,0.011453262294904891,0.010473978681823027
70,2,0.0024319393239903534,0.7499572956933037,10,0.022172115098881177,4.495701626764538e-19
71,2,0.22597450425883112,0.48697082326024155,8,0.024534465390202362,0.011773437168722069
72,2,0.5591886250007746,3.819463857834234e-28,8,0.006488861757523829,0.0023663902721308533
73,2,0.9967067915160053,0.9993342261171542,0,0.03668817872608519,0.050196715801484965
74,2,0.4104997773995656,0.995,0,0.01602958138560002,0.06037769769489383
75,2,2.736790599376326e-25,0.09492165420490507,5,0.006966335571401725,0.008491887618872195
76,2,3.652849995078276e-06,0.6366415184980354,12,0.03905899260797301,0.01169615637154057
77,2,0.6927928249078653,0.4939197907764309,7,0.004335236225146934,0.007850256748427124
78,2,0.12301416632232288,0.06556392111198006,7,0.01008478934411173,0.01009598078616976
79,2,0.5140190126315266,0.24995065794809482,6,0.0016659314359345051,4.545636536465534e-18
80,2,0.20635335285292586,0.43096744336594,7,0.008667507123206415,0.01866063181119653
81,2,0.5353235799950302,0.42798905153342665,6,0.00521501097346514,0.006619607674529392
82,2,2.5226543493800706e-16,0.6115638259113481,1,0.011870394164493755,0.011250973606282254
83,2,3.851565553791553e-14,0.7261673847822944,6,0.013380594269784682,0.011049685946799937
84,2,0.4341385665635258,0.9999623757731969,0,0.012388939956468285,0.009501638283428447
85,2,0.6860239906289465,0.31825267868801893,8,0.006478979310790798,0.0042752451366759574
86,2,0.02537392890752135,0.9999999999999194,2,0.015596908652527651,0.027005910958962175
87,2,0.23232014663177483,0.4759012732229832,13,0.024826584629328588,0.024139169407722434
88,2,0.999999999856389,0.4051887659924311,5,0.011692844323714527,0.006149610143948271
89,2,3.3568350352240505e-12,0.7416499910816863,6,0.0566576784812314,0.016507986204004205
90,2,0.4176079331554624,0.2530840058417707,5,0.006281455279401738,0.006255802342201791
91,2,0.483799410343465,0.9999999999999999,3,0.04107073328447151,0.022213574944336224
92,2,0.256432263421811,0.33173096224515386,8,0.03319584591250073,0.01058766147975643
93,2,0.06833038912896976,8.3889361523145775e-19,3,0.015874024028098746,0.016468610257785007
94,2,0.20437988729131873,0.5250162463991259,2,0.010016741432832155,0.008460642151369465
95,2,1.3767943071423248e-25,0.6946321473951254,3,0.005520822056620144,0.003358095377401925
96,2,0.4448299220398334,0.5044427610379679,4,0.07423112092157651,0.030766643392564772
97,2,0.5507119541292541,0.4693088588527038,5,0.010224590715249357,0.013609842075438432
98,2,3.510244563638425e-25,0.39787999715614186,6,0.025234624980711873,0.02870732872979847
99,2,2.7362515248264068e-05,5.0564146806486576e-05,0,0.05000000000000068,0.019923435258529427
100,2,0.11655118750253049,0.9999999999371671,2,0.03713984173992193,0.02155120699997907
