model,condition,target,trial,mean_pred
ORIG-BASE,2,ai,15,0.5114275413693486
ORIG-BASE,2,ai,16,0.3993121097736665
ORIG-BASE,2,ai,17,0.394242580246678
ORIG-BASE,2,ai,18,0.37995201548963303
ORIG-BASE,2,ai,19,0.35363002281615147
ORIG-BASE,2,ai,20,0.3513265687014996
ORIG-BASE,2,ai,21,0.43116397480158286
ORIG-BASE,2,ai,22,0.5049614818632999
ORIG-BASE,2,ai,23,0.5338996303977912
ORIG-BASE,2,ai,24,0.41793459396920646
ORIG-BASE,2,ai,25,0.5114359992938131
ORIG-BASE,2,ai,26,0.5182652593528594
ORIG-BASE,2,ai,27,0.5393732202984767
ORIG-BASE,2,ai,28,0.5707070190373035
ORIG-BASE,2,ai,29,0.44830945402084393
ORIG-BASE,2,ai,30,0.55296755770691
PHYS FULL,2,ai,0,0.66
PHYS FULL,2,ai,1,0.5610702320814387
PHYS FULL,2,ai,2,0.5162712206026435
PHYS FULL,2,ai,3,0.49317194899083217
PHYS FULL,2,ai,4,0.5724591388971859
PHYS FULL,2,ai,5,0.4793303867393506
PHYS FULL,2,ai,6,0.48384368443174003
PHYS FULL,2,ai,7,0.42788096885461185
PHYS FULL,2,ai,8,0.4101291774891323
PHYS FULL,2,ai,9,0.5158531933655229
PHYS FULL,2,ai,10,0.5476588361525336
PHYS FULL,2,ai,11,0.45711904728167935
PHYS FULL,2,ai,12,0.4245732224614072
PHYS FULL,2,ai,13,0.3887623507090913
PHYS FULL,2,ai,14,0.38237674013129075
PHYS FULL,2,ai,15,0.5056204689805105
PHYS FULL,2,ai,16,0.40220395638044637
PHYS FULL,2,ai,17,0.3890972529792174
PHYS FULL,2,ai,18,0.37694014906949214
PHYS FULL,2,ai,19,0.3505197243328223
PHYS FULL,2,ai,20,0.3415847863898967
PHYS FULL,2,ai,21,0.4176594008726008
PHYS FULL,2,ai,22,0.49168289619889294
PHYS FULL,2,ai,23,0.5236462999591338
PHYS FULL,2,ai,24,0.4135561945121108
PHYS FULL,2,ai,25,0.48444944561477754
PHYS FULL,2,ai,26,0.49462559428914793
PHYS FULL,2,ai,27,0.5146603295714105
PHYS FULL,2,ai,28,0.5494458648014924
PHYS FULL,2,ai,29,0.4377182797221652
PHYS FULL,2,ai,30,0.5256649272882501
Data,2,ai,0,0.66
Data,2,ai,1,0.51
Data,2,ai,2,0.495
Data,2,ai,3,0.47
Data,2,ai,4,0.55
Data,2,ai,5,0.485
Data,2,ai,6,0.425
Data,2,ai,7,0.37
Data,2,ai,8,0.325
Data,2,ai,9,0.505
Data,2,ai,10,0.53
Data,2,ai,11,0.445
Data,2,ai,12,0.43
Data,2,ai,13,0.36
Data,2,ai,14,0.345
Data,2,ai,15,0.535
Data,2,ai,16,0.39
Data,2,ai,17,0.375
Data,2,ai,18,0.365
Data,2,ai,19,0.315
Data,2,ai,20,0.34
Data,2,ai,21,0.4
Data,2,ai,22,0.52
Data,2,ai,23,0.5
Data,2,ai,24,0.355
Data,2,ai,25,0.485
Data,2,ai,26,0.49
Data,2,ai,27,0.46
Data,2,ai,28,0.53
Data,2,ai,29,0.405
Data,2,ai,30,0.455
ORIG-BASE,2,self,0,0.495
ORIG-BASE,2,self,1,0.4732715130092124
ORIG-BASE,2,self,2,0.4262341369327048
ORIG-BASE,2,self,3,0.47963224257845205
ORIG-BASE,2,self,4,0.4669542885828224
ORIG-BASE,2,self,5,0.5210546710661351
ORIG-BASE,2,self,6,0.44008744096675684
ORIG-BASE,2,self,7,0.4225479806637333
ORIG-BASE,2,self,8,0.5264219628282355
ORIG-BASE,2,self,9,0.4840603264859222
ORIG-BASE,2,self,10,0.4871388606612059
ORIG-BASE,2,self,11,0.4210642754989651
ORIG-BASE,2,self,12,0.4274104517214558
ORIG-BASE,2,self,13,0.43397007168111496
ORIG-BASE,2,self,14,0.45023244879012636
ORIG-BASE,2,self,15,0.4717278051324906
ORIG-BASE,2,self,16,0.5068445374801057
ORIG-BASE,2,self,17,0.42467097046493035
ORIG-BASE,2,self,18,0.47681600777527683
ORIG-BASE,2,self,19,0.43146278282259787
ORIG-BASE,2,self,20,0.48943140580601574
ORIG-BASE,2,self,21,0.4534187937526549
ORIG-BASE,2,self,22,0.4685231530033513
ORIG-BASE,2,self,23,0.47597153618581006
ORIG-BASE,2,self,24,0.4406442630462304
ORIG-BASE,2,self,25,0.4548766816975574
ORIG-BASE,2,self,26,0.4879631016771899
ORIG-BASE,2,self,27,0.4841650249917522
ORIG-BASE,2,self,28,0.47770260232508127
ORIG-BASE,2,self,29,0.41351287696803773
ORIG-BASE,2,self,30,0.46391780812959227
PHYS FULL,2,self,0,0.495
PHYS FULL,2,self,1,0.5042847842704833
PHYS FULL,2,self,2,0.4552107435903743
PHYS FULL,2,self,3,0.49047617209384975
PHYS FULL,2,self,4,0.4769494918562003
PHYS FULL,2,self,5,0.5333415264616285
PHYS FULL,2,self,6,0.4623094527989427
PHYS FULL,2,self,7,0.4422056436066054
PHYS FULL,2,self,8,0.5325371025172053
PHYS FULL,2,self,9,0.4987835466269103
PHYS FULL,2,self,10,0.4833369218153497
PHYS FULL,2,self,11,0.43421958061468857
PHYS FULL,2,self,12,0.42911057793499685
PHYS FULL,2,self,13,0.4397991865729585
PHYS FULL,2,self,14,0.45084816402678335
PHYS FULL,2,self,15,0.47405321121358535
PHYS FULL,2,self,16,0.5141233636297767
PHYS FULL,2,self,17,0.43846962103413106
PHYS FULL,2,self,18,0.46973325391085363
PHYS FULL,2,self,19,0.4316875501148691
PHYS FULL,2,self,20,0.48009242677553926
PHYS FULL,2,self,21,0.4506881371361486
PHYS FULL,2,self,22,0.4576790735609462
PHYS FULL,2,self,23,0.4622021443549011
PHYS FULL,2,self,24,0.4350875394513151
PHYS FULL,2,self,25,0.43202313877451964
PHYS FULL,2,self,26,0.462764993103879
PHYS FULL,2,self,27,0.46975092642545824
PHYS FULL,2,self,28,0.45856508792983475
PHYS FULL,2,self,29,0.39985888086645055
PHYS FULL,2,self,30,0.41879368215804014
Data,2,self,0,0.495
Data,2,self,1,0.51
Data,2,self,2,0.41
Data,2,self,3,0.515
Data,2,self,4,0.51
Data,2,self,5,0.59
Data,2,self,6,0.495
Data,2,self,7,0.49
Data,2,self,8,0.56
Data,2,self,9,0.505
Data,2,self,10,0.485
Data,2,self,11,0.445
Data,2,self,12,0.47
Data,2,self,13,0.425
Data,2,self,14,0.43
Data,2,self,15,0.51
Data,2,self,16,0.505
Data,2,self,17,0.415
Data,2,self,18,0.46
Data,2,self,19,0.41
Data,2,self,20,0.48
Data,2,self,21,0.44
Data,2,self,22,0.42
Data,2,self,23,0.465
Data,2,self,24,0.395
Data,2,self,25,0.435
Data,2,self,26,0.49
Data,2,self,27,0.49
Data,2,self,28,0.49
Data,2,self,29,0.415
Data,2,self,30,0.44
