model,trial,mean_abs_delta,ci_low,ci_high,align_count
Baseline Model,7,0.07408679090320411,0.0496407840084908,0.10060992203687241,8
Baseline Model,8,0.05441590519655729,0.04303175073690437,0.06672967748240563,41
Baseline Model,9,0.16117434883151244,0.1476470836695122,0.17873745988889622,6
Baseline Model,10,,,,0
Baseline Model,11,0.13787752492357347,0.10724754516456099,0.16420358260955875,4
Baseline Model,12,0.053740542526090486,0.0412556202015516,0.06333108116801417,3
Baseline Model,13,0.0686101026729823,0.046321771457386425,0.09324414989351258,11
Baseline Model,14,0.025404172415287102,0.017431995754601304,0.03217555152696172,3
Baseline Model,15,0.14981675901780167,0.12769610624194475,0.1711203234399644,10
Baseline Model,16,0.12491135616156,0.1103525199514341,0.13910606359950972,29
Baseline Model,17,0.0504792382580592,0.033443921265134735,0.07096607985153056,5
Baseline Model,18,0.04030612692056265,0.029428713759424498,0.05117154387817571,22
Baseline Model,19,0.037282868112139114,0.015691752581464557,0.058873983642813675,5
Baseline Model,20,0.050908948257894604,0.03505792940088022,0.0670168379978125,21
Baseline Model,21,0.18088250566185435,0.11309539949294645,0.2164295887941022,3
Baseline Model,22,0.12019292141789802,0.10405126377173558,0.1364209789345373,14
Baseline Model,23,0.06187378369303604,0.043921332875575404,0.08489656205720195,11
Baseline Model,24,0.1469723510188085,0.12004987457798792,0.17203644564230466,8
Baseline Model,25,0.12983686738417444,0.0776142362255352,0.18205949854281367,2
Baseline Model,26,0.11062330115225572,0.06867179430275998,0.14583673006222847,4
Baseline Model,27,0.10626370202175699,0.07471189379281669,0.13196225952781754,7
Baseline Model,28,0.05751893228794228,0.03562058883825723,0.08410440526527291,12
Baseline Model,29,0.21013132052406666,0.20702918854463637,0.21323345250349696,2
Baseline Model,30,0.15933024509615326,0.13960286311570674,0.17905762707659978,2
Reformulated Model,1,0.08902685459497167,0.05752368341387848,0.12053002577606486,2
Reformulated Model,2,0.06453216461252209,0.04395466474261067,0.08510966448243351,2
Reformulated Model,3,0.08286725825746322,0.06578048773109474,0.10051088391699241,17
Reformulated Model,4,0.18878318148967477,0.18878318148967477,0.18878318148967477,1
Reformulated Model,5,0.12798390371290083,0.1136018075707171,0.14202962137113628,32
Reformulated Model,6,,,,0
Reformulated Model,7,0.06974544644916758,0.04682437226015216,0.09400815838809867,8
Reformulated Model,8,0.0877895842792118,0.07530999244991855,0.10120901746954929,41
Reformulated Model,9,0.1870772436811757,0.17550068746984884,0.20164537514081612,6
Reformulated Model,10,,,,0
Reformulated Model,11,0.14288209085508558,0.12187153808922307,0.17023518192397982,4
Reformulated Model,12,0.07018641399028641,0.06366818794533319,0.0789379758340405,3
Reformulated Model,13,0.08187710954334185,0.06143109557126569,0.1048378626094497,11
Reformulated Model,14,0.050238994352993394,0.026881661936619894,0.06626631237738412,3
Reformulated Model,15,0.17084133486129116,0.1493023606729574,0.19014851363714913,10
Reformulated Model,16,0.1324681616604255,0.11747060917500914,0.14586878344241969,29
Reformulated Model,17,0.05744028523974851,0.04262490839670566,0.07268325055166018,5
Reformulated Model,18,0.06685924704908618,0.05419827756325666,0.08180528960005165,22
Reformulated Model,19,0.08185552229430149,0.034210641165562466,0.12950040342304053,5
Reformulated Model,20,0.07813340881067815,0.060369590953726265,0.09789853955811408,21
Reformulated Model,21,0.1996107671052223,0.14131357034979958,0.2306044857318347,3
Reformulated Model,22,0.1333121825893505,0.11932585276497752,0.14793308672719693,14
Reformulated Model,23,0.06983341804445616,0.053198388992370366,0.08923104253846834,11
Reformulated Model,24,0.1595243248218173,0.13272409428401188,0.1863354677408501,8
Reformulated Model,25,0.13864566744300028,0.08761705900207517,0.18967427588392538,2
Reformulated Model,26,0.1321977140041774,0.07382137811987312,0.18069375127280107,4
Reformulated Model,27,0.1235036828239947,0.08998156290431887,0.15252231224715246,7
Reformulated Model,28,0.06516467016333645,0.04511240672923482,0.0876372277990309,12
Reformulated Model,29,0.19151168467720675,0.18789887518686954,0.19512449416754396,2
Reformulated Model,30,0.15069572209120977,0.1371489389762255,0.16424250520619404,2
