channel,participant_index,trial,align_count,improvement,empirical_abs_delta
Self,73,9,6,0.09323183350691755,0.0
Self,75,9,6,0.11853447944068096,0.0
Self,86,9,6,0.07197468118238515,1.0
Self,92,9,6,-0.13029504400905534,0.0
Self,27,11,4,0.08846083689331319,0.0
Self,39,11,4,-0.090526874795064,0.0
Self,63,11,4,-0.07072529247571308,0.0
Self,88,11,4,0.06168381716467247,0.0
Self,40,12,3,0.09355661700718076,0.0
Self,77,12,3,-0.0623131664055625,0.0
Self,99,12,3,0.06744970380438031,0.0
Self,2,13,11,0.03769290209734888,0.0
Self,5,13,11,-0.08310530150608508,0.0
Self,21,13,11,-0.09323118726759128,0.0
Self,36,13,11,-0.0412933120965997,0.25
Self,37,13,11,-0.10140600556586965,0.0
Self,39,13,11,0.10855578333820215,0.25
Self,66,13,11,-0.08686968579412574,0.0
Self,71,13,11,0.0685115319717185,0.0
Self,72,13,11,0.07769503934276967,0.25
Self,92,13,11,0.0674690787904142,0.0
Self,97,13,11,-0.06463591097845328,0.5
Self,19,14,3,-0.08870384102472229,0.0
Self,36,14,3,0.10797977377770629,0.25
Self,46,14,3,0.0965580114686021,0.0
Self,55,15,10,0.0546216378931591,0.0
Self,60,15,10,0.07956505676060521,0.5
Self,62,15,10,0.07482723468588182,0.5
Self,65,15,10,0.10503171237460573,0.25
Self,70,15,10,-0.1069303103861432,0.0
Self,75,15,10,0.09830725412493047,0.25
Self,76,15,10,0.0896694570032519,0.25
Self,80,15,10,0.079034851498128,0.5
Self,86,15,10,0.058159038737812696,0.0
Self,96,15,10,0.0946811160080469,0.0
Self,5,16,29,-0.08153192622970884,0.0
Self,9,16,29,0.11430891418549355,0.0
Self,10,16,29,0.07217895237962957,0.25
Self,12,16,29,-0.09316272398720232,0.25
Self,14,16,29,0.08112870315098641,0.0
Self,15,16,29,-0.10132953407672562,0.0
Self,16,16,29,-0.09676037465283538,0.0
Self,17,16,29,0.09622415618018665,0.25
Self,18,16,29,0.07373116462715645,0.25
Self,19,16,29,-0.1168603156057435,0.0
Self,28,16,29,0.07653096760268241,0.25
Self,29,16,29,0.07415648689047805,0.5
Self,33,16,29,0.08026138781232867,0.25
Self,34,16,29,0.08908491628741633,0.0
Self,35,16,29,0.08441860400964518,0.25
Self,36,16,29,0.10277516402510156,0.0
Self,37,16,29,-0.10223760097382306,0.0
Self,39,16,29,-0.07827581312669601,0.0
Self,42,16,29,-0.06066889477171378,0.0
Self,43,16,29,-0.07713045390255069,0.25
Self,45,16,29,-0.11140907633895847,0.0
Self,46,16,29,0.09145845189122315,0.0
Self,48,16,29,-0.08789488571097204,0.25
Self,49,16,29,-0.08102937473507354,0.0
Self,52,16,29,-0.059285982387451086,0.0
Self,88,16,29,0.06724472100393941,0.0
Self,93,16,29,0.08481509183455671,0.0
Self,95,16,29,0.06351499334812089,0.0
Self,98,16,29,-0.07399762213281691,0.25
Self,14,17,5,0.12272834370471308,0.0
Self,45,17,5,-0.13641665898080935,0.0
Self,49,17,5,-0.12131051342067867,0.0
Self,50,17,5,0.0743484000384736,0.25
Self,80,17,5,0.07792411913029224,0.25
Self,2,18,22,0.02467771025209331,0.0
Self,4,18,22,0.0695780041526064,0.0
Self,7,18,22,0.07340751650090027,0.25
Self,8,18,22,-0.07420966330948553,0.0
Self,9,18,22,0.09313838509851752,0.0
Self,10,18,22,0.08748379290226782,0.0
Self,11,18,22,0.08033920507079229,0.5
Self,12,18,22,-0.0888795404321992,0.25
Self,16,18,22,-0.10403536383862894,0.0
Self,19,18,22,-0.09599844716285089,0.0
Self,21,18,22,-0.08268758239007801,0.25
Self,22,18,22,0.079201104179289,0.5
Self,24,18,22,0.0880127453425934,0.0
Self,27,18,22,0.07892517382353748,0.0
Self,32,18,22,0.06921255678096827,0.5
Self,34,18,22,0.07440824355909148,0.0
Self,39,18,22,-0.10159931565338332,0.0
Self,43,18,22,0.08738709870452244,0.25
Self,44,18,22,0.08578367090325634,1.0
Self,45,18,22,-0.14197704144859125,0.0
Self,47,18,22,-0.07514259911064836,0.0
Self,49,18,22,-0.13503569561186135,0.0
