model,condition,target,trial,mse
PHYS FULL,2,self,11,0.023534030967876044
PHYS FULL,2,self,12,0.03891810476483956
PHYS FULL,2,self,13,0.03952319940258545
PHYS FULL,2,self,14,0.04079621230747616
PHYS FULL,2,self,15,0.0404925754521262
PHYS FULL,2,self,16,0.04335679771601531
PHYS FULL,2,self,17,0.043722025102267185
PHYS FULL,2,self,18,0.05409575319741721
PHYS FULL,2,self,19,0.047981154843003686
PHYS FULL,2,self,20,0.06787048550608217
PHYS FULL,2,self,21,0.0611701116790895
PHYS FULL,2,self,22,0.055453691841911956
PHYS FULL,2,self,23,0.049233332904884214
PHYS FULL,2,self,24,0.05971505994107142
PHYS FULL,2,self,25,0.062495988936232934
PHYS FULL,2,self,26,0.06835202129968608
PHYS FULL,2,self,27,0.07023257284227342
PHYS FULL,2,self,28,0.0638768838789108
PHYS FULL,2,self,29,0.0562100460858562
PHYS FULL,2,self,30,0.06021367361448294
