alpha_fast,alpha_slow,omega1,omega2,omega3,omega4,beta,gamma
0.7286150178491231,0.4609152569968498,0.215844191672795,0.34301023241816864,0.08036116800280543,0.08492435671889535,2.264486865731088e-24,0.1475367407233239
0.813709020176062,0.5545543369252707,0.19052656650255104,0.2467988649153929,0.08415479208696205,0.08960598586548829,2.2823412878171845e-22,0.15729927656726975
0.7446442703516548,0.42545744314605627,0.2408246011443371,0.3332642065231807,0.11424451972580572,0.14993378906936697,6.2300743818804175e-21,0.07667552576929741
0.822456316427791,0.561667024269012,0.16805692322273436,0.2851140487897822,0.06385706597825759,0.09234602353655608,8.938920925440559e-23,0.13630647068325877
0.7733764460573732,0.4937156840312309,0.21127478176443865,0.29424152265409703,0.08594596762421088,0.1264379912617177,2.737158855874654e-22,0.13987894609076082
0.6948456662967999,0.3923009454578066,0.2588003707969659,0.36365219466269944,0.12976298825311286,0.13116122406995603,1.2480770579541957e-27,0.09274105135634668
0.7826974334941214,0.5394945136874362,0.19508927999721276,0.2662364442230649,0.05934656488993266,0.06884872947669723,1.281334147004403e-25,0.19214153396336428
0.7813286127478146,0.4761306146522149,0.21636233326737758,0.31623865725235034,0.09063916697729622,0.11349365151331195,6.354147699170697e-25,0.1100608749884209
0.7995203350775522,0.5153764682880193,0.19846987475622735,0.3129374658107106,0.07787657356158448,0.1094151156265351,1.6916920063993838e-20,0.1306224601121273
0.8110945544674667,0.5714391342468597,0.17481576295687334,0.26177335176627986,0.05117450598844596,0.08430064121201827,5.111670806195676e-21,0.16214871329786743
0.6959178061566779,0.41548894029370564,0.2437175490823447,0.35318800092558683,0.09264242798661516,0.11063112944624287,3.1657602175933197e-26,0.11023599117993466
0.7226494705423772,0.4260632185688448,0.23994231823906584,0.3483945307929274,0.10386434071122506,0.11748521888270373,3.7389583072124563e-25,0.12044976706367544
0.7587513642517183,0.42669634684718094,0.24838326346313816,0.33776402550397333,0.12367697487807745,0.13020756193850522,3.012669592653287e-26,0.10291351254481863
0.8127751887326454,0.5197777484858412,0.1977498367703905,0.2786126075721247,0.08681125474794474,0.10722534452056134,2.03427696055165e-24,0.10190914351608944
0.7847012966246307,0.5031451258390343,0.20912055245140118,0.2806061832378188,0.07447883325755224,0.11347626684982429,2.639413838106034e-26,0.12530788742620316
0.7550607085055696,0.4683626516410996,0.22507807864427093,0.30745104379122895,0.09333039850307558,0.1189155216140621,6.129139030679715e-26,0.13182737629164798
0.7379168589504517,0.49318626495753964,0.19472954650982263,0.2959064024822498,0.0789194105068115,0.09545714842703078,1.6234614289286612e-22,0.16498455363073378
0.746556937975309,0.5006122269733354,0.20583220369173474,0.29658179094099474,0.06688553725556216,0.08679967457065814,1.2474955504659447e-21,0.2131128763551369
0.7357155110367661,0.477222974296537,0.20971730394471233,0.3174524219424402,0.0749516373870026,0.08737697622403337,8.284261842052425e-23,0.1564059431015173
0.7978396308574208,0.48987951395640533,0.21635561956593358,0.2925298982503366,0.09673096362125466,0.11243982451642258,5.848687613674987e-28,0.09896242218966254
0.7605973220744654,0.48744602527504743,0.20887224004510893,0.30311702074895874,0.08383606633897017,0.09204858784886488,4.3249383084165146e-21,0.14644351226293736
0.8556678317664175,0.4772212586554662,0.25223629579089124,0.33113373711047767,0.13675140356695079,0.15190754710237864,4.377569739515587e-25,0.04492080119246325
0.7725208747425283,0.5329757737423442,0.17897196937785573,0.2971362665062234,0.05027411301162015,0.0883900305328091,1.2757229822669907e-26,0.16822863941342833
0.7819067850037051,0.4450426665911363,0.2521135384528568,0.31596187030731193,0.12623925224019153,0.1353455780848353,1.5083082456016922e-24,0.05749691180820721
0.8205676576835033,0.4896363996315288,0.21592276808089486,0.3013588829606627,0.09581909087578971,0.12012832970245413,4.4788534912539416e-26,0.09083111997706973
0.8262827661438906,0.498309552614237,0.2101937793106739,0.2918993180554983,0.10133654668492795,0.13434019949401438,6.478110495788368e-24,0.11498794536359856
0.7020150023383769,0.3750369450768465,0.27069848654781764,0.3866231964897749,0.1265619022320388,0.15183677817328417,5.227875056870554e-24,0.06424031328834484
0.7429951451026306,0.45142746649998744,0.22167465084822913,0.35135531286256816,0.07666871550378286,0.11232552091473193,3.659094370152924e-22,0.14360485884591484
0.767711578000025,0.470218275637521,0.2242642944824842,0.3182761693315134,0.09208195618382384,0.11621170948712699,5.35644714181493e-25,0.12541511099784014
0.7905715640058784,0.574667215688357,0.16345692120878821,0.24280459678362368,0.04559147411309293,0.06876077887223563,5.887423040042121e-26,0.22841510902219478
0.8106183104855996,0.4503923246790159,0.23192015920444664,0.3368918068668208,0.12013510651540182,0.15658509330789847,1.846296629788641e-23,0.09390749469001893
