alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,beta
0.2591438432893676,0.6679014191180083,0.04397441756936245,0.598234820086562,0.7749199459845834,0.26422176424062027,0.28134485097989625,7.427181829248126e-21
0.3191821753524449,0.47116956200404125,0.03096574693955227,0.561830417545101,0.7774888311610999,0.2665180731923764,0.34978605220932246,3.0570820899976213e-27
0.2608002093333586,0.6593328087601309,0.038632049013185836,0.5300029211904697,0.899154522086043,0.20139861133721507,0.29123507100503787,2.5570568295177424e-23
0.27967561188578743,0.5885731657291369,0.04505677968565795,0.5842577113913803,0.8136892013332401,0.23768467865940146,0.3496511337789887,3.269552696501853e-17
0.3025174416317554,0.4477691193797174,0.03741174340158812,0.5943915213592801,0.8352293984972207,0.2979990382033899,0.30120821439013323,1.8081138145809837e-24
0.24319951922969774,0.6810943603569175,0.05055798819272227,0.6278574426164633,0.8568295216719516,0.1909899517596503,0.22157241985066092,1.0734382906460236e-23
0.30513526054596635,0.5468772498721637,0.03943518374568782,0.5539208785426222,0.8096626810250254,0.2319804955952039,0.29052804608958904,4.782225404496958e-23
0.2841376058135894,0.604246808415785,0.04178037876141481,0.5584531230087233,0.8805483115379157,0.21911800343552604,0.3078680486966212,2.120578741798561e-25
0.23965198634488336,0.6919086811407519,0.041716963508868374,0.5916537422348228,0.8859562103964064,0.1731878805095382,0.2853050674318804,3.869369891313243e-23
0.2803945983645864,0.485516531172603,0.040377483425835796,0.6048272265411642,0.8765455364832834,0.22986508597393276,0.2745135397711676,1.226021063688383e-23
0.29654631235765516,0.5018645782726167,0.04475432888917499,0.5846438150872477,0.8489419163139895,0.2530394156005767,0.2862350603681582,1.1110412974423745e-23
0.33197655642765944,0.4880769626410466,0.041688072871610124,0.5675881313492694,0.7718730787862149,0.28254987470632803,0.29748500889180285,8.65142654473912e-24
0.2929294952132158,0.587872854855986,0.03390756616590287,0.5485861950812665,0.7729313024468811,0.24074970272260723,0.29741639336833986,1.783123375610516e-22
0.2815019934015592,0.588003599630366,0.04058698757143075,0.5828502210151805,0.782108699838631,0.2075147311528967,0.3162377103644859,8.166079065377921e-20
0.28669294567209724,0.5553808343560278,0.04488946115652242,0.5927775559701446,0.8097251869642136,0.24578777399165103,0.3131770439045888,6.435226071822233e-21
0.24473574866701597,0.6109763576788445,0.047184384371178285,0.587151779434836,0.8922135793370762,0.23796489989854291,0.2878276629566492,8.867539639416625e-21
0.24594108540077678,0.6556145506796256,0.058139440131249914,0.6247995048357191,0.9002693550633621,0.2030233980692812,0.2634742042404388,6.006301708099639e-23
0.25849062479350604,0.5857775512886901,0.04789040319169939,0.5968941490783111,0.9035319992607302,0.21332218480334655,0.24868558181520417,1.8497087614873665e-20
0.3078809379492094,0.5535686471993425,0.03538888278137543,0.560548551041536,0.7579327944839821,0.250529015630941,0.2912757200093973,3.2985046419526782e-24
0.2731445267865159,0.5874437456909763,0.0464842431810734,0.5816140046198859,0.844046992113209,0.23343719835967344,0.25630516752332844,5.943298334310561e-21
0.3784335025549524,0.5028639426671686,0.0192914156939014,0.5703092806891422,0.7487020736908521,0.3091867793256464,0.34345722860400635,3.027140298260081e-24
0.23953252223834431,0.6563547981527516,0.044991356403016,0.5771792306233274,0.9582800596589702,0.16211067604878376,0.2850427086977799,8.750256707694412e-22
0.33686025650997264,0.478799226132093,0.023746644242182997,0.5851904282577179,0.7333930100116905,0.2930156374899479,0.3141527319554641,1.9497900207304994e-27
0.3308889654438843,0.5462882326169088,0.0342751756836225,0.535402073139825,0.7472847915242099,0.23755188930139534,0.2978506201517816,2.9154532332587705e-19
0.32794378941992586,0.5714142792129872,0.04193756261427053,0.529560811007541,0.7354214795519071,0.2552783705836697,0.3384447762363589,2.799753965919869e-19
0.326957069548195,0.4108573636212982,0.028475631326641496,0.5811901927447553,0.8300977779239548,0.2717055109015682,0.3259777456817452,1.4024752589295074e-22
0.2915686500997508,0.5450212533916308,0.05005261847182297,0.564888950400222,0.8953516642639652,0.19537272219341487,0.28623233106857093,6.523347768500784e-19
0.29749098972723576,0.5517026694190369,0.04393676799680915,0.5787372636660968,0.8213457174750861,0.23762759634743852,0.29989465952420186,8.705089536287503e-22
0.21590586158876862,0.7521337416314209,0.05094373387725889,0.5985250076969738,0.8890695304746706,0.1669433623200413,0.2517806671585263,4.652143372080016e-24
0.36021654240982204,0.5052341495152722,0.039088981990745196,0.5218928034936416,0.7581155772160708,0.2703319039906703,0.35236130152088063,3.5457077068047055e-20
0.25461219576496247,0.5544185026509828,0.03919479495926533,0.5457432637636686,0.9141532909962224,0.20228114580438836,0.29529701119723234,1.8492194682187692e-19
0.25636245257837653,0.6204511099189653,0.05031303857046611,0.5342766373638569,0.8949425978090577,0.21683924234583143,0.30442187537977505,9.92299466746883e-24
0.276331772893018,0.5712190616609947,0.04379891999304722,0.580579212483234,0.8292336756828768,0.19865024128817163,0.2951616644126918,3.354630955406335e-22
0.28196356753428914,0.47641599103890553,0.02585284805950551,0.6094456568662615,0.8570611958654261,0.2689845275346492,0.2584568918886116,1.6190403802190074e-27
0.31569853332919023,0.547846049589582,0.03556205987341308,0.5431849321981084,0.734169425113243,0.2891182138994688,0.3368611561111703,2.4399833746222132e-23
0.2764613418751499,0.5394844594344644,0.04403473039230073,0.5768277065113725,0.8131824250679202,0.23879143184104462,0.30969787353481704,1.3928245485107198e-20
0.3385128065663147,0.3996073523264742,0.039665163693372904,0.5900635917238334,0.7987975081038166,0.2922924634896584,0.2990347540471783,1.602081432333845e-20
0.2700255943454109,0.5779739185052926,0.035672993242791204,0.5654074481028034,0.8605583899564291,0.2004597643485254,0.2728164735971751,2.3453688057458967e-21
0.2658220080959684,0.6029411323822302,0.054299764678867844,0.6138587402157318,0.8874533983428048,0.20384005407625058,0.2910169177543352,4.072632477023494e-20
0.23846783085295173,0.6486215448313143,0.03561653953854367,0.623174419273484,0.9119337828525241,0.17013459208001733,0.3004210600982794,1.7484515446614474e-21
0.2975291295373631,0.5854739329119111,0.042410145178930644,0.5804878781510008,0.8196668401697128,0.22587456642691034,0.30730916326670393,9.219641888568822e-21
0.3228328331223416,0.543402419286483,0.04286516332198188,0.5638188343162666,0.7890499639371699,0.24603207783388195,0.28727419602937976,1.756194202746845e-19
0.23788651148064857,0.6631510377830542,0.03381786781431882,0.6082565877874678,0.8337291791725553,0.17266393902056926,0.26196799353588673,4.843728960708325e-22
0.23339294524075854,0.5796019005365775,0.040015164627562085,0.6413987907145836,0.9598588756985242,0.17355653829848858,0.23412714709893873,2.110278796271719e-18
0.23355308726564603,0.6482853913379037,0.04196760638858028,0.5762238512625897,0.8974329580615846,0.21567156141769175,0.2795838085417897,1.317721885374487e-24
0.30117676111561464,0.537678645126423,0.055214747431182105,0.6070407091782404,0.8160703556633173,0.24866567497717249,0.2829890546816655,5.468531746421822e-20
0.24172750590983533,0.6393407901159733,0.03485228401691674,0.5667964028446887,0.925943622164082,0.16071487693241615,0.2934953932451786,1.8002762744845154e-26
0.2597465623244519,0.5007593643581026,0.03178958345217804,0.6028463633114195,0.806485057537923,0.2105616101001053,0.2686596622083407,6.546187617861444e-24
0.26156054350543445,0.5887397685420107,0.049270472831205,0.5934722201017697,0.8855831078029341,0.22804852815795934,0.31914876601925324,1.6071918537647784e-23
0.3582856572163347,0.41660314976600127,0.0202719378409976,0.5503559863559507,0.7807357376677272,0.2828455982259658,0.34068090561496867,2.832418897530058e-23
0.3113874037527811,0.5948010335453998,0.03604460486206722,0.5848610018521035,0.7842880452834722,0.27584673956993566,0.3141376532105618,1.577170729728977e-26
0.3528806802001973,0.47870247243415837,0.031337168814530324,0.573151550283494,0.7758843207289866,0.3241527765093866,0.31683342493820044,2.695577502621737e-22
0.32044980581136767,0.5054764895157283,0.031877822925814855,0.6102128573665484,0.8336878111902873,0.28482551076322105,0.32404545215230696,4.454674028919663e-24
0.295444538189614,0.4604644990113514,0.03378667374555645,0.6050863773798838,0.8270282612763794,0.28435247651870843,0.2844365357157955,2.7179656518451717e-23
0.30758014538835665,0.523705860537194,0.04066985005218149,0.6142527932995259,0.761784757647359,0.2835882767404424,0.3039226915745689,1.2539072820033619e-20
0.2670662219365348,0.62173924755259,0.04419422660341177,0.6001575512828069,0.8487782307399967,0.20971894420084977,0.2615138877734289,1.0422413894184708e-22
0.2589456028439679,0.6821089502529697,0.03239929594400811,0.5875766666866911,0.8360326284630257,0.2170286504038786,0.26108029301252206,8.566146456399525e-25
0.2893746348195912,0.4661135941971567,0.04073319840917409,0.5697474219376745,0.8528641614509266,0.22102761633993182,0.30406087515089136,3.466974587297521e-22
0.2506939984237291,0.5154588818968314,0.041835836764688446,0.5827969108133235,0.8219716950438816,0.24349968642005446,0.24445064018697268,8.515749360236619e-24
