alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,beta
0.25735206757492757,0.5510274406580856,0.0880669866105572,0.8727175503636322,0.19506526741377112,0.028022884736296508,0.5892958002244943,3.0414272053026624e-28
0.2589872942120689,0.4789209879400005,0.08894702412796518,0.8303550144938483,0.18442022830610202,0.050893585473164686,0.5901467317835606,6.866967763795157e-27
0.24603672342057148,0.5979778946480045,0.09961367337684938,0.8713223217972126,0.18212131069723156,0.028098380263538107,0.5970221300188132,5.273253253979728e-22
0.24166389874899288,0.5509305305896363,0.08235776447189276,0.9000747298052689,0.14325504121515178,4.046917109886828e-10,0.5766025868593229,1.1871042605996163e-24
0.23750287100471693,0.4317966369136942,0.05696504798105256,0.9087257750098986,0.10502020981398755,1.3608741908234214e-10,0.567856243844967,1.1344604686229828e-27
0.2650946662686375,0.5069026100585091,0.09376457008873246,0.8469352564205683,0.1984325304154248,1.877624297680797e-11,0.6001970455352696,8.778818520229004e-24
0.21211257332046515,0.5939831269358936,0.08047910312648587,0.8656063320207247,0.14214164991558842,7.352806007769614e-12,0.5945333730761878,9.999985970016324e-13
0.24286795286737498,0.5761156817839873,0.07507709014744592,0.8420607494118166,0.10905739364680338,3.630904369484386e-13,0.5804561103556614,2.875405868135728e-22
0.23567280611374308,0.5023520016928344,0.09568952678159845,0.8696068367274888,0.17879587878713776,0.0050980633665895754,0.627186138744747,3.0150666374409162e-27
0.2525667613659701,0.536613109393042,0.0740973452167328,0.8434710727595467,0.20881991134074848,4.100933881850402e-11,0.5580396292214256,5.260240675974232e-22
0.2722998509063698,0.5280101414770509,0.09989692914949666,0.8906189603278474,0.19451049152811492,0.07672018697172421,0.5506974905778385,2.18610514474318e-28
0.2530180489106634,0.5852719256344646,0.09341776364141408,0.8753768322861571,0.19688026177076517,3.5552249930468687e-11,0.5576455510942908,9.915376358343966e-26
0.2743416762611748,0.5727898052469073,0.10349732994603225,0.8692837883714515,0.3159147496924142,1.088845017200153e-11,0.5342081843090679,7.024314439510655e-21
0.24402787227546757,0.5789838640695022,0.09591159684838053,0.8754448620893494,0.2309481992959372,8.549469581722323e-12,0.5934877564677526,2.80964234858909e-25
0.22482592830710788,0.5136910581579519,0.09052152435573724,0.8884402189576246,0.1454211976054574,2.1142048238239405e-10,0.6262628400548711,1.770209245278457e-19
0.3039596283711148,0.4546546540870335,0.08774128636815796,0.8707947862998712,0.22850333128048683,0.10909777341042662,0.5400896135417506,4.575942539736286e-30
0.2515910611190911,0.4508705803986414,0.06609875848489713,0.8548811163750031,0.1741848893670827,1.1997799448473689e-11,0.5627146559793393,1.1355210316983837e-24
0.26094824151402146,0.5510711560896311,0.08938444784361965,0.8737122999758333,0.21937883550008494,0.022942011457996382,0.5796902084390689,5.4627998420226294e-30
0.24991682842189897,0.5780413490000094,0.10384929283840932,0.8580055556479355,0.18921630250686836,6.083473691021665e-11,0.5925018543438972,8.121160053988566e-19
0.25793054601000437,0.5559329890137874,0.0863223757879487,0.8629256957581478,0.20731734080731978,7.819098644166581e-10,0.548324010192416,1.1269696240901815e-21
0.23869149796056444,0.4863618099479819,0.0745231139978191,0.8882326478138791,0.20018858614574633,6.897054472372663e-19,0.5862635894260865,2.1919540034267916e-31
