alpha_fast,alpha_slow,alpha_a,omega1,omega2,omega3,omega4,gamma_res,beta
0.7385934806987494,0.39896594260982704,0.026990408934464506,0.2569692635381258,0.37020237124107525,0.15970236957974246,0.17069994921579437,0.5670238261436034,1.4756970872212537e-15
0.6607043471818091,0.3521710878246419,0.034031639232171965,0.26850998591682346,0.4148174535276081,0.1584880349497413,0.16584399329459454,0.5976753666299733,1.1064624251193134e-16
0.812728094355335,0.4419187507047675,0.01843016806600448,0.25977869723443253,0.3720718627992648,0.1652670071564618,0.18335332735464388,0.5070728593239116,1.0972160572301409e-10
0.5932420339352336,0.3214968617873676,0.02918640326050793,0.2400560345108465,0.4408585644432642,0.12974886553896325,0.17665597490282953,0.9589386028266907,1.1612499499088855e-18
0.7487069368266992,0.40396815626612065,0.020503176041016695,0.27018407756505725,0.36428725630914044,0.16385615208367219,0.1754611864355162,0.47978246793004675,1.3172492211111095e-10
0.7718066088612652,0.41608069525097463,0.028032042016424223,0.24699312058038392,0.36791555560995715,0.15084031353302152,0.17303440406142206,0.604676292479018,3.2463303880886927e-12
0.7281770050815374,0.3882445715623534,0.033138033845852885,0.2494271533028402,0.37535426574762604,0.15892128499905578,0.1961134708822864,0.6463961018404525,8.157222282432147e-12
0.6577935744544104,0.3154221409506226,0.0235383972540755,0.28498204080732686,0.4467516947297297,0.1667539010158651,0.19772741329544777,0.6889624433121204,2.003844524969467e-12
0.6673326896046087,0.3399965482917759,0.03681067620263997,0.26520859456930085,0.4533851063983577,0.14340474652192184,0.18418190108481958,0.7164908466038854,1.439387467636929e-11
0.6752039196309759,0.3535354180537929,0.03473327449856198,0.27170236047380775,0.41584831974516895,0.158335807012542,0.1861852644891965,0.7047952788409733,1.1642410444838585e-15
0.5934565800575508,0.32555817381478064,0.03592506038742942,0.24311397504716378,0.4050187613617157,0.14785397134311007,0.1745215377496347,0.9203345812062917,1.16268008161726e-14
0.7269652375863641,0.37656704275729436,0.03525985186046956,0.2482770612791859,0.4067613978226033,0.16386721922509664,0.2057173741646905,0.8153975971470789,1.2573425494796224e-12
0.652261123214976,0.3632865578432533,0.029125844532280284,0.23869581943795973,0.419315706582296,0.138586817953381,0.1727645511807162,0.7806532882165601,4.354522625104579e-13
0.6604707988702636,0.339248884923364,0.034050394565246146,0.25588594426361044,0.425631639857594,0.16387799974473324,0.19507722055455104,0.6747809814407787,2.0018951709901828e-14
0.6765809347107391,0.3584144792734347,0.03171714992635683,0.2645643632730761,0.4012790890630945,0.148183569318217,0.18242614053303857,0.648056659236537,2.1375196927320597e-15
0.6954876277679868,0.3773710859344684,0.017667846043727682,0.2694311432851974,0.3974598173134336,0.15880037543308523,0.1566282614200487,0.49383208850600707,6.033969491876115e-12
0.6978157737910822,0.3741828285456825,0.02725776482782454,0.24870474130347683,0.3692854261247813,0.17231118689210143,0.18884540390714166,0.7227229202360277,8.242396217149725e-15
0.5684754517002971,0.29157951083177774,0.03465480829849986,0.26582832033097664,0.4268244450039663,0.16233095624618366,0.18642350724127846,0.8635918264375759,1.885061641292803e-12
0.642678810251251,0.2838507880678865,0.031479558508322986,0.31338564716915135,0.45911020467119285,0.1925747769126399,0.19946203001424528,0.6071391624977762,5.488903734277479e-11
0.6698469193510388,0.3719771230031513,0.02518341737862426,0.24308427864189006,0.39639129605640433,0.1355750036106285,0.15805169463279048,0.7116132697563442,5.0838813364158105e-14
0.6332473213464517,0.32316806402486936,0.03896657316267215,0.28681730760400903,0.44687372933115094,0.1585014544910268,0.1905629034775808,0.6895376625201863,4.207347363010775e-14
0.6711619973848112,0.38735114582594493,0.02233994015555731,0.2499317390953312,0.392253348840686,0.13569459420728117,0.16936601089262596,0.6550864340645359,1.0054780250283321e-13
0.7154190004936063,0.38277221276396517,0.03163596467698184,0.2620452562485006,0.4046777594458789,0.15639369911871207,0.18627206805382943,0.6402164045381904,6.540067620199167e-14
0.7317506696371787,0.3806644844302389,0.034157873968818996,0.2706678635552437,0.40472751871852636,0.1644008195711108,0.17590158967411473,0.5586912845307594,6.660827067448241e-16
0.6600970560122212,0.39706618093638735,0.024471729200511366,0.23435687813704947,0.3568774137929564,0.12400644748071293,0.14834291896521595,0.7709620534841393,6.948675160863812e-19
0.6046223483713139,0.3413310072725782,0.02710536315440433,0.26106757580422024,0.4337566213204201,0.1316187970244734,0.15056280259035604,0.7916210909971866,1.860052531898419e-14
0.5766546008277479,0.31621675366969926,0.0279349819598104,0.23378366117760596,0.4147328434950474,0.14808383413395346,0.167827273562266,1.0614587290040884,1.1938398594635823e-14
0.6171530062669075,0.2893990324719185,0.04060655673712812,0.30798145166040114,0.4520543126675498,0.1779349551104364,0.19198899661279428,0.620880378678674,5.775943358517961e-12
0.6351320431773516,0.3743732284867648,0.025239465700240937,0.21778461531881405,0.40120889398933535,0.11647258029202583,0.16034653888277742,1.071481376738378,1.9394102415268762e-16
0.6266372076817397,0.3393086765506712,0.02293856017992067,0.2543494578292707,0.38841382802158514,0.1410548347572428,0.15735127822366615,0.8062193859223998,3.548817740468315e-14
0.6090384512542188,0.3005842278476235,0.03207978070916408,0.2843331463961937,0.4497326599294217,0.17012945204828012,0.20289164414481767,0.6650819713149275,2.859209394562961e-14
0.7350464604366278,0.38312634867555806,0.02091134751806035,0.25690138567683435,0.40330986384884715,0.1571639380280042,0.18833904054725742,0.6027575710542181,6.489747149909462e-12
0.7636885287428806,0.4123191106103701,0.02505732929728974,0.2667267209987415,0.37880525621758326,0.17504095774932207,0.18381892409317152,0.48316631920695996,2.068401980856941e-15
0.7500185053067708,0.3778028914975855,0.024279378065612738,0.2831786259063732,0.4044124695302041,0.19008036940976603,0.19046362114868617,0.47680846370701774,1.5067195198069686e-12
0.7202138046924509,0.38417270996120406,0.024693401969328763,0.2844230232365063,0.4183334528468065,0.1716620897989625,0.186399491233769,0.4880785861957016,3.2553086514993955e-14
0.6553982680501811,0.3227024324992552,0.02170187195615944,0.2876523633231561,0.42109558225264154,0.1786427215077503,0.1814460667284494,0.5782850854146885,6.019865557826766e-11
0.7079787684195488,0.3547742826859221,0.02755487159951143,0.2979176975930425,0.3961040127442844,0.18824518952723876,0.19331476492066652,0.41278364681238355,4.50797893607173e-12
0.6381290711979812,0.34447341332427195,0.03188297452693767,0.2616946273290821,0.4096984421289886,0.14778800224756833,0.16584634173198648,0.7861641342153323,1.5775048703348476e-14
0.7513407732465398,0.44011640904174915,0.021312297902090018,0.23477948911981214,0.3541755424361531,0.1440900150780467,0.15548335844162312,0.6177915777630207,8.356425878661375e-11
