alpha_fast,alpha_small,alpha_b,omega1,omega2,omega3,omega4,beta,gamma
0.26429950097958343,0.3522312294344835,0.041285643204316456,0.8646436943968618,0.2121793236230449,3.608708835875423e-13,0.5537758937889535,9.999999995942814e-13,0.40492970554324803
0.2743650808564757,0.3458888364547907,0.03965321077483737,0.8477770720108028,0.21594750636877974,4.248897360337131e-12,0.505612002986459,9.999999994178916e-13,0.36519968283426835
0.26438323316938067,0.3502061783311936,0.0030443175416920865,0.8716299904015384,0.23289405645245595,1.4105047811704794e-14,0.5205368103738285,2.5208210742035775e-24,0.33415653426583536
0.26938568167263477,0.35927517801374326,0.013465162429096273,0.8765116748302618,0.23084511827250695,2.837198745945387e-12,0.5707199410423095,2.211462393287308e-19,0.33253705988571103
0.29128645928310015,0.3615085063287995,0.006136127999162564,0.870093687092557,0.34036739552686274,0.006024362294249977,0.5167654944026032,1.295861932506906e-30,0.3615573786930338
0.2688150695763627,0.32781257706529326,0.006707755046390718,0.8690204098697641,0.21773497797873714,3.8496770154278677e-14,0.5410928010651613,1.3526770426113705e-20,0.27537217710896345
0.27265448218959,0.37025564512700165,0.0018610813615044808,0.8609611991984212,0.2443846843919972,9.819379652098874e-17,0.5076183980713391,1.930504072406315e-21,0.3007273417476145
0.2683328881865448,0.3906617201223352,0.022158468415997824,0.8810651400721288,0.21414199591257008,1.8478711484983757e-13,0.5191257532720444,5.585541994079819e-22,0.3270517906307946
0.2568307793871023,0.3342880129201957,0.02536068453683942,0.8375151200657605,0.18109551745739097,1.898225693383752e-12,0.5365862271408807,3.5975955494503636e-21,0.30848567318788833
0.28415718521464745,0.35300144867543115,0.012460943767945177,0.8362535098847504,0.2613081672578584,2.995226574273443e-10,0.5008463972907188,1.8263173018866008e-19,0.30023251753032004
0.2672858262880321,0.3499391635863712,0.024255631562735698,0.8235413329974208,0.21383407938491075,1.8442447885913448e-11,0.5376416635635153,9.476726941259102e-21,0.3159510400371096
0.2599321953731424,0.33999350118034366,0.028548167443882538,0.8765302584666269,0.23254972234457547,4.3048571030137865e-11,0.5427063717395259,1.0374657735068072e-20,0.3728851894191833
0.262963417240993,0.36914648194126226,0.010504208794954973,0.859312590133202,0.19513919109844474,2.1374870133311613e-12,0.5714829505079952,5.882267237723071e-18,0.3180749719638479
0.2501923997885694,0.3701431052477014,0.005180666304445831,0.8678383112301872,0.17759040003626086,1.1950978293319364e-14,0.5445760663270892,5.251280188249874e-20,0.28545169735900744
0.28304400203344093,0.36018466561385915,0.02295482247999147,0.9000569618480871,0.19730700348678382,5.895325796650688e-11,0.5022296352337763,2.782039670474322e-26,0.3152673613684441
0.2513904054418046,0.3443324589341275,0.006706779844394556,0.8452321866823667,0.22360337811859152,4.177789137996563e-15,0.5682301047563271,9.999999957506043e-13,0.3141240382525021
