alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
0.3350632969385159,0.41267154634886594,7.184745171070114e-07,0.5883860438088343,0.7565445320112126,0.29673368430854136,0.2978795507196631,0.10183876418292782
0.3346006060467715,0.38068504990922203,2.4810127610935383e-09,0.601108525004412,0.8075487439186019,0.30159102307942703,0.2972756695023283,0.06582050342797191
0.27240592440854094,0.45767327010207104,3.444481647391403e-24,0.5793783808288276,0.912893797396781,0.23647645290052616,0.22136281172685787,0.1387547341522144
0.25743164281037106,0.5545696257990427,5.244768436849732e-13,0.595696544865453,0.7709112157697197,0.2628075886572777,0.27727479988502507,0.15706006990426885
0.3279273937085966,0.42467953760496513,1.4413699570756524e-15,0.5566418744222289,0.7596565106307461,0.28492531605843685,0.3332934332249931,0.0706474050153151
0.2573433320854526,0.5582575431011633,1.0356190720225786e-13,0.521989894427078,0.8931050125567306,0.2015988372568412,0.2752152926899159,0.13621281520493966
0.2648830361362802,0.4943042442306153,2.9874814878277925e-19,0.5835584537672879,0.8326777275360264,0.2097920368787703,0.34021648879975297,0.15074817004691465
0.30686955298884466,0.39621110330315795,2.7478342525392792e-11,0.5902955691342652,0.818521743385642,0.31373867539276384,0.2930150847323618,0.08879643937718269
0.24032597526630417,0.5387465975681416,1.1459812251104726e-21,0.6224635733842595,0.8599881763328987,0.19919422246597263,0.20743901235717005,0.19397185726318153
0.3137957767495516,0.46604551748879924,1.1099663590058855e-20,0.5462678471482109,0.7927338955882242,0.24304293635892893,0.2840940458226529,0.10144675096923848
0.2886915845885437,0.5072798012211799,6.886703695075364e-23,0.5496185915161634,0.8647636888468917,0.23269077136865118,0.2911353274674716,0.12185955758979332
0.22975544801403108,0.5673763429461559,5.588504416398127e-10,0.5882586284486152,0.8990058276454971,0.15297874062568068,0.27187454039650905,0.16904997789420156
0.28593053682531355,0.41107394630300237,2.40673534516034e-18,0.5969683176121529,0.8616262788730322,0.2641910580134435,0.25359980937304705,0.10274438521026218
0.2976833462190182,0.4201068665445523,6.188719728407459e-18,0.5752118579921814,0.8488985861077982,0.2555827341695168,0.2803924335270366,0.11664945236366264
