alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
0.2759244355187349,0.3437242172009281,1.0796277114767364e-10,0.8604647040490355,0.27255983126882827,6.641202094243877e-26,0.5519415801690929,0.35932268615197
0.2639138429635548,0.3411443091920748,0.020923161351738828,0.8435836091218135,0.23768899780963765,1.5948469545178962e-27,0.5710825323851448,0.35488346670393534
0.2518302482926245,0.3415110994113086,0.021172556525356042,0.8236792769934428,0.25637138609180904,2.3872442097837506e-24,0.5545886788381679,0.31102402358743997
0.27481520178392016,0.37951556941767683,0.007459938557026624,0.9160773216099664,0.19165587682800853,1.5355785986213185e-27,0.5232669868556327,0.29591620323029566
0.2709540303066806,0.3439610489687968,0.025214591974815008,0.8746247607685007,0.2270646431159336,1.0047089978468742e-21,0.5553402205912568,0.3463163600007489
0.2889079842738293,0.3362529069432188,1.842935962166987e-13,0.858687429150599,0.3115088545094822,1.1908743724183403e-26,0.5204593789011146,0.38906058597837656
0.274883002327192,0.30562825132614635,0.00659505534765113,0.8095067774792545,0.29030975733817316,1.5238103017194858e-24,0.6071747597318239,0.3461943548327195
0.25534712167944495,0.3616296445457988,0.01654328578120233,0.8730813549489573,0.19828733878605204,1.0875375989984882e-25,0.5520985918799189,0.35259865130492524
0.27223257667538664,0.38432525842326537,0.006396259743675817,0.8724225209291296,0.25624125935878944,3.904372057323692e-25,0.5092353049190288,0.34568765651297856
0.27109761418714184,0.34920893627361405,0.0030150079746687785,0.8480744168313029,0.2831828637556197,8.763677887624726e-24,0.524486651073234,0.31584628116003227
0.2595697816589656,0.33273954579863263,0.01301762295893094,0.8455306118536452,0.19049813713091074,5.830841097906067e-25,0.5701725713788702,0.3305878188694659
0.259296787873029,0.3442531633478008,5.3786088985697724e-12,0.8837519048040627,0.20082987948702025,6.679662901481182e-27,0.5292119343001723,0.3340795353764374
