sample,quadrant,n,share_of_sample,n_participants,positive_feedback_rate,condition2_rate,align_rate,accept_ai_rate,reject_ai_rate,modify_rate,ai_before_mean,self_before_mean,gap_self_minus_ai_before_mean,delta_ai_mean,delta_self_mean,team_score_mean,individual_score_mean
non_aligned_trials,AI_up_self_up,167,0.0582084349947717,66,0.7664670658682635,0.41916167664670656,0.0,0.48502994011976047,0.2634730538922156,0.25149700598802394,0.27844311377245506,0.29191616766467066,0.01347305389221557,0.36077844311377244,0.3338323353293413,-30.239520958083833,-46.88622754491018
non_aligned_trials,AI_down_self_down,213,0.07424189613105611,78,0.07042253521126761,0.4131455399061033,0.0,0.3755868544600939,0.3474178403755869,0.27699530516431925,0.6208920187793427,0.5950704225352113,-0.025821596244131457,-0.3438967136150235,-0.3215962441314554,-30.610328638497652,-46.15023474178404
non_aligned_trials,AI_up_self_down,139,0.04844893691181596,51,0.2014388489208633,0.5323741007194245,0.0,0.26618705035971224,0.6115107913669064,0.1223021582733813,0.20503597122302158,0.6528776978417267,0.447841726618705,0.33992805755395683,-0.34172661870503596,-28.345323741007196,-44.460431654676256
non_aligned_trials,AI_down_self_up,126,0.0439177413733008,50,0.38095238095238093,0.5793650793650794,0.0,0.46825396825396826,0.42857142857142855,0.10317460317460317,0.5634920634920635,0.2777777777777778,-0.2857142857142857,-0.373015873015873,0.36507936507936506,-29.285714285714285,-43.65079365079365
non_aligned_trials,flat_or_mixed_zero,2224,0.7751829905890554,100,0.3574640287769784,0.5094424460431655,0.0,0.34802158273381295,0.4352517985611511,0.21672661870503598,0.416591726618705,0.4065872302158273,-0.010004496402877698,-0.005845323741007194,-0.0037095323741007193,-31.699640287769785,-47.00089928057554
non_aligned_modify_trials,AI_up_self_up,42,0.06851549755301795,32,0.6666666666666666,0.4523809523809524,0.0,0.0,0.0,1.0,0.2857142857142857,0.30952380952380953,0.023809523809523808,0.35714285714285715,0.31547619047619047,-34.285714285714285,-46.904761904761905
non_aligned_modify_trials,AI_down_self_down,59,0.09624796084828711,40,0.06779661016949153,0.2711864406779661,0.0,0.0,0.0,1.0,0.6567796610169492,0.6398305084745762,-0.01694915254237288,-0.3432203389830508,-0.326271186440678,-29.661016949152543,-43.389830508474574
non_aligned_modify_trials,AI_up_self_down,17,0.02773246329526917,14,0.11764705882352941,0.4117647058823529,0.0,0.0,0.0,1.0,0.23529411764705882,0.6911764705882353,0.45588235294117646,0.35294117647058826,-0.3382352941176471,-18.823529411764707,-43.529411764705884
non_aligned_modify_trials,AI_down_self_up,13,0.021207177814029365,10,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0,1.0,0.5576923076923077,0.28846153846153844,-0.2692307692307692,-0.38461538461538464,0.38461538461538464,-29.23076923076923,-42.30769230769231
non_aligned_modify_trials,flat_or_mixed_zero,482,0.7862969004893964,95,0.33402489626556015,0.4854771784232365,0.0,0.0,0.0,1.0,0.40975103734439833,0.4258298755186722,0.016078838174273857,-0.00933609958506224,-0.004149377593360996,-31.369294605809127,-43.77593360995851
